"시스템키","체험마을명","시도명","시군구명","체험프로그램구분","체험프로그램명","보유시설정보","체험휴양마을면적","체험휴양마을사진","소재지도로명주소","대표자성명","대표전화번호","지정일자","홈페이지주소","관리기관명","위도","경도","데이터기준일자","제공기관코드","제공기관명"
"1845","조개부리마을","충청남도","태안군","기타","갯벌체험+함초인절미체험+함초비누만들기+농산물수확체험+망둥어낚시+연만들기체험+바다낚시","","","","충청남도 태안군 고남면 옷점길 122-13","이상일","","2017-10-24","","충청남도 태안군청","36.41507472","126.3990973","2025-01-07","B552149","한국농어촌공사"
"1848","조팝꽃피는마을","충청남도","금산군","농작물경작체험+자연생태체험+만들기체험+전통문화체험","걷기명상+두부만들기+물놀이체험+생태체험+인성교육+인삼장뇌삼체험+인삼수확+인삼꽃병만들기(체험인성)+인삼김치만들기체험+음식명상(인성교육)+염색체험+약초주머니만들기+식교육명상인성체험+홍삼파자만들기+캠프파이어+참쌀모치체험+전통놀이체험+산부추칼국수만들기체험+떡갈비한상만들기+도자기만들기+공예만들기체험+농산물체험+농산물체험","","","","충청남도 금산군 제원면 길곡길 8","최기림","041-753-5382","2017-10-24","","충청남도 금산군청","36.15900681","127.5641828","2025-01-07","B552149","한국농어촌공사"
"1863","적벽강마을","충청남도","금산군","농작물경작체험+만들기체험+자연생태체험+건강+전통문화체험+기타","곤충만들기+농사체험+도자기+떡매+두부+모스이끼화분만들기+황토염색+홍삼비누만들기+한방향첩+캠핑+캠프파이어+앰프대여+쑥개떡만들기+시골밥상+수생동식물채집+새집만들기+백숙만들기+밧줄놀이+물놀이+목공체험+캔들아트+정글밥상+전통간식만들기+전래놀이+인삼튀김+인삼캐기+인삼빵만들기+인삼병만들기+야유회+레프팅+땟목타기투어+농촌에서살아보고농촌체험+깻잎부각튀김+곶감만들기+김장체험","","","","충청남도 금산군 부리면 수통1길 17","한명환","041-751-7142","2017-10-24","","충청남도 금산군청","36.05063707","127.5914414","2025-01-07","B552149","한국농어촌공사"
"1864","적벽강비밀의섬농촌체험휴양마을","충청남도","금산군","만들기체험+자연생태체험+건강+기타","목공예체험+핸드드립커피체험+카약+스탠드업패들보드+적벽강생태탐사+적벽강생태체험(박일)+우드펜던트만들기+새싹삼심기+반딧불탐사","","","","충청남도 금산군 부리면 농원길 163-15","이인자","063-322-0019","2021-10-27","","충청남도 금산군청","36.03823127","127.6221226","2025-01-07","B552149","한국농어촌공사"
"1878","장곡마을","충청남도","청양군","농작물경작체험+자연생태체험+전통문화체험+만들기체험","공예품체험+달려라깡통열차+산나물채취+쑥개떡만들기+아니골습체험+칠갑산등산+줄팽이만들기+장승팔찌만들기+장승팔찌+장승공원+장곡사탐방+알밤줍기+아니골숲거닐기+상황양갱만들기+두부만들기+농산물수확하기+구기자고추장떡+구기자따기및효소만들기","","","","충청남도 청양군 대치면 장곡길 103-7","이정이","041-943-8866","2017-10-24","","충청남도 청양군청","36.40977838","126.8489505","2025-01-07","B552149","한국농어촌공사"
"1881","장선리마을공동체","충청남도","서천군","만들기체험+자연생태체험","생태체험+아로니아청만들기","","","","충청남도 서천군 마서면 옥도로498번길 27","이규영","041-953-6971","2020-03-25","","충청남도 서천군청","36.04578221","126.7183737","2025-01-07","B552149","한국농어촌공사"
"1883","장수마을","충청남도","아산시","농작물경작체험+만들기체험+기타","고구마+향낭주머니만들기+캘리등만들기+치유프로그램(향기치료)+치유프로그램(공예)+재생밴드키링만들기+인절미체험+옥수수따기체험+세미나실+블루베리체험+미술치유프로그램+떡메치기+교육대관료(종일)+고소함가득기름짜기+고구마수확체험","","","","충청남도 아산시 음봉면 월랑길 17","이세종","","2023-03-10","","충청남도 아산시청","36.84331162","127.0799239","2025-01-07","B552149","한국농어촌공사"
"1887","장익는마을","충청남도","공주시","농작물경작체험+기타","가을추수체험+하지감자캐기체험+포도따기체험+고추따기+무우뽑기+새싹심기+시설임대사용료+농촌일손돕기+고구마캐기체험","","","","충청남도 공주시 이인면 선근리1길 34","이인희","","2017-10-24","","충청남도 공주시청","36.37964332","127.0694028","2025-01-07","B552149","한국농어촌공사"
"1918","은골구기자마을","충청남도","청양군","농작물경작체험+만들기체험+전통문화체험","고사리꺽기+활만들기+양갱/제리만들기+알밤줍기+수제소시지/어묵만들기+상호지지구조만들기+산마늘수확체험+산딸기수확체험+바람떡만들기+목공체험+구기자칼국수만들기+나만의수제어간장만들기+다도체험+떡만들기+다식만들기+구기자따기","","","","충청남도 청양군 비봉면 은골길 119","장재규","","2017-10-24","","충청남도 청양군청","36.52073082","126.7984837","2025-01-07","B552149","한국농어촌공사"
"1926","이색체험마을","충청남도","서천군","만들기체험+기타","경옥고+공진단만들기체험+떡차만들기체험+모시송편빚기체험+버섯울금밥식사체험+황태해장국식사체험+연입밥식사체험+연근비빔밥식사체험+소곡주빚기체험+버섯불고기밥식사체험+모시베틀짜기체험+다육이아트만들기체험+기능성소금만들기체험+기능성청만들기체험+낙지젓갈비빔밥식사체험","","","","충청남도 서천군 기산면 화출길42번길 2-10","이선규","041-951-8891","2020-03-25","","충청남도 서천군청","36.07582661","126.7682961","2025-01-07","B552149","한국농어촌공사"
"1935","황산벌참살이마을","충청남도","논산시","기타+전통문화체험","고추따기+인절미체험+전통제례체험+전통주담두기+저장담구기+된장담구기+고추장담구기+김장체험","","","","충청남도 논산시 연산면 고정1길 34-15","김완순","","2017-10-24","","충청남도 논산시청","36.19827627","127.1862415","2025-01-07","B552149","한국농어촌공사"
"1936","황새마을","충청남도","서천군","기타+만들기체험","대보름축제+허수아비만들기+친환경화분만들기+솟대만들기+염색체험+친환경우렁잡기+친환경방울토마토따기","","","","충청남도 서천군 마서면 계동길46번길 36","구영원","","2017-10-24","","충청남도 서천군청","36.06374323","126.6999211","2025-01-07","B552149","한국농어촌공사"
"1946","회포마을","충청남도","서산시","농작물경작체험+만들기체험+기타","감자캐기+흑미인절미만들기+호박피자만들기+호박팬케익만들기+호박크림만들기+호박크림마카롱+호박칼국수만들기+자원봉사+워크샵및세미나+옥수수따기+시골밥상+손모내기+서산쪽마늘캐기+벼농사체험+미니호박디스플레이+모종심기+호박전만들기+호박잼만들기+호박요리체험+호박등만들기+호박게꾹지+커피박키링만들기+천연염색스카프+천연염색손수건+전통놀이체험+농특산물판매하기+단체숙박+민박+마을견학+맷돌호박고추장kg+맷돌호박고추장g+고구마캐기체험","","","","충청남도 서산시 대산읍 운산나루터길 37-16","최근명","070-8802-6635","2017-10-24","","충청남도 서산시청","36.931174","126.465444","2025-01-07","B552149","한국농어촌공사"
"1961","황골장미마을","충청남도","부여군","농작물경작체험","느타리농장체험","","","","충청남도 부여군 양화면 양화동로 250-32","이경훈","","2023-04-21","","충청남도 부여군청","36.10608082","126.8680403","2025-01-07","B552149","한국농어촌공사"
"1974","햇빛촌바랑산마을","충청남도","논산시","기타+만들기체험","감말랭이쵸크릿만들기+비누만들기+바랑산등산+바람개비만들기+명자차또는모개차체험+머위퀘사디아+매실따기+떡매치기+딸기뽕듀+두부만들기+호떡만들기+윤경체험+영화관람+영실체험+경옥체험+고구마캐기체험+곶감?A기+단호박요리체험+김치담그기+감자캐기체험","","","","충청남도 논산시 양촌면 바랑산2길 51","전영실","","2017-10-24","","충청남도 논산시청","36.12997775","127.2747408","2025-01-07","B552149","한국농어촌공사"
"1977","행복마을","충청남도","서천군","기타+전통문화체험+건강+자연생태체험+만들기체험","고구마캐기+풍등날리기+인절미만들기+쑥떡만들기+숙박+김장체험+김치담그기+넝쿨강낭콩따기+솔방울공예+손두부만들기+기타","","","","충청남도 서천군 비인면 남당길63번길 23-6","정순자","041-952-0536","2017-10-24","","충청남도 서천군청","36.1712888","126.6158762","2025-01-07","B552149","한국농어촌공사"
"1995","합덕연지마을","충청남도","당진시","농작물경작체험+건강+전통문화체험+만들기체험","계란꾸러미+석고방향제+연자육거품세정제+허수아비+화과자+이엉역기(새끼꼬기)+연잎밥+먹거리+계절별꽃심기+꽃(수국대)+다육이를품은연자방","","","","충청남도 당진시 합덕읍 신촌로 6","이지현","041-362-5509","2019-07-11","","충청남도 당진시청","36.79411067","126.7875788","2025-01-07","B552149","한국농어촌공사"
"2004","해비알마을","충청남도","태안군","기타","올레길트래킹+효소찜질방","","","","충청남도 태안군 안면읍 해안관광로 44-13","서동철","","2017-10-24","","충청남도 태안군청","36.50831515","126.3384428","2025-01-07","B552149","한국농어촌공사"
"2015","한다리마을","충청남도","서산시","전통문화체험+기타","전통문화체험+전통혼례","","","","충청남도 서산시 음암면 한다리길 34","조덕순","","2019-10-30","","충청남도 서산시청","36.73986105","126.5192923","2025-01-07","B552149","한국농어촌공사"
"2020","한방웰니스마을","충청남도","공주시","농작물경작체험+건강+자연생태체험+전통문화체험","가을열매체험+사우나+자전거라이딩+족욕체험+캠핑+체육활동+전통놀이체험+쑥뜸+부황체험+물놀이","","","","충청남도 공주시 우성면 무성산로 296","방극태","","2021-04-01","","충청남도 공주시청","36.50121486","127.088538","2025-01-07","B552149","한국농어촌공사"
"2021","하누리마을","충청남도","홍성군","농작물경작체험+기타","고추/감자심기(주말농장)+수련회/캠프파이어+아로니아청만들기+유기농사모둠체험+유정란가족그림그리기+토종닭서리하기+친환경과수체험+인절미만들기+유기농콩와플만들기+유기농먹거리체험+아로니아식초만들기+손모심기+고추/양파수확+공작쑥갯떡만들기","","","","충청남도 홍성군 광천읍 매현1길 2","박분이","041-642-0262","2017-10-24","","충청남도 홍성군청","36.52226833","126.6336432","2025-01-07","B552149","한국농어촌공사"
"2029","하리철새마을","충청남도","홍성군","농작물경작체험+자연생태체험+건강+만들기체험","갯벌체험+무지개물고기만들기체험+바다생태체험+배타기체험+해상낚시체험+풍어기원만선깃발만들기+페트병바다상어놀이감만들기+천수만어탁체험+자연속별빛캠핑+업싸이클링체험+소라화분만들기+생강캐기체험+생강차만들기체험+바다캔들만들기+물고기가죽키링만들기+농산물수확체험+갯벌퍼포먼스+견학및교육+나는천수만바다지킴이~","","","","충청남도 홍성군 서부면 남당항로 849","윤경진","041-634-6867","2017-10-24","","충청남도 홍성군청","36.58864404","126.4577271","2025-01-07","B552149","한국농어촌공사"
"2039","평매녹색농촌휴양마을","충청남도","논산시","농작물경작체험+만들기체험","계절별잼+청만들기체험+양말목공에+토탈공예체험+화분체험+풍선아트+염색체험","","","","충청남도 논산시 가야곡면 산노3길 65","조옥현","","2017-10-24","","충청남도 논산시청","36.16822792","127.181257","2025-01-07","B552149","한국농어촌공사"
"2045","포전마을","충청남도","논산시","농작물경작체험+자연생태체험+건강+기타+전통문화체험+만들기체험","고구마수확체험+포도수확+트랙터타기+토마토수확체험+텃밭체험+카네이션화분양말목+전통연만들기+양말목딸기화분만들기+스칸디아모스리스만들기+숙박+손수건꽃물들이기+손맛김치담기+새콤달콤딸기화분만들기+사과따기체험+떡메치기체험+딸기청만들기체험+대나무물총만들기+딸기비누만들기+딸기샌드위치+딸기주스+딸기잼만들기+딸기수확체험+공기정화식물양말목화분만들기","","","","충청남도 논산시 성동면 우곤1길 69","이향순","041-732-5508","2017-10-24","","충청남도 논산시청","36.19817516","126.9962657","2025-01-07","B552149","한국농어촌공사"
"2046","푸레기마을","충청남도","당진시","농작물경작체험+만들기체험+건강+자연생태체험+기타","갯벌체험+머핀만들기체험+쑥개떡만들기+한지손거울만들기+피자만들기+텃밭체험+쿠키만들기+치유체험+천연항균탈취제체험+천연비누만들기체험+천연버물리만들기체험+천연모기기피제만들기체험+조물락비누만들기+약쑥핸드워시(거품비누)+약쑥주방세제만들기+약쑥버블바(입욕제)만들기+송편만들기체험+두부샐러드만들기+김장체험+꼬맹이주먹밥체험+두부만들기+나만의화분만들기체험","","","","충청남도 당진시 석문면 초락1로 147","윤용숙","041-353-5008","2017-10-24","","충청남도 당진시청","36.99294154","126.5024807","2025-01-07","B552149","한국농어촌공사"
"2062","문당환경농업마을","충청남도","홍성군","농작물경작체험+자연생태체험+만들기체험+전통문화체험","감자캐기+옥수수따기체험+오색복비만들기+오리입식하기+오리쌀축제+쌀빵만들기+쌀강정만들기+숲체험하기+송편만들기+선진지권역소개+트랙터마차타기+컵케익만들기+캠프파이어+친환경시골밥상+친환경나물캐기+천연화장품만들기+천연비누만들기+종합체험+조물조물치유떡만들기+흑미염색하기+패키지사업+선진지강의+불루베리쨈만들기+벼수확체험+물중요성체험+모심기체험꾸러미+메뚜기잡기+떡메치기+땅콩캐기+딸기따기체험+대안에너지체험+논생물조사+김장체험+곤충채집하기+고구마캐기체험","","","","충청남도 홍성군 홍동면 문당길 141","주형로","041-631-3538","2017-10-24","","충청남도 홍성군청","36.535428","126.702154","2025-01-07","B552149","한국농어촌공사"
"2069","물버들마을","충청남도","서천군","농작물경작체험+건강+전통문화체험+만들기체험+자연생태체험+기타","규방공예목걸이+브로치만들기+모시의비밀이야기+벽오리무인판매대+봉선지에서보는별빛보기캠프+인두화(우드버닝)+힐링/치유단체체험+황토방가족힐링/치유체험+텐트야영체험+조약돌추억쓰기+전통활쏘기+식체험+별보기체험+밥상머리교육+모시송편만들기+둘레길생태학습체험+둘레길주변나물채취","","","","충청남도 서천군 마산면 한마로 677","황의신","041-953-1024","2017-10-24","","충청남도 서천군청","36.13345023","126.782861","2025-01-07","B552149","한국농어촌공사"
"2074","물여울마을","충청남도","청양군","농작물경작체험+건강+만들기체험+자연생태체험+기타","감자전만들기+농산물수확체험+라벤더화분만들기+물고기잡기체험+민화에코백만들기+산딸기따기체험+친환경우렁농법체험+천연수세미만들기+조롱박걱정인형만들기+장담그기+옥수수따기체험+씨앗놀이+생태숲체험+볶음차만들기+물놀이+메뚜기잡기체험+농촌에서살아보기+고추전만들기+감자캐기","","","","충청남도 청양군 화성면 산당로 441","전용분","041-942-9100","2017-10-24","","충청남도 청양군청","36.45873049","126.703929","2025-01-07","B552149","한국농어촌공사"
"2102","매화둠벙마을","충청남도","태안군","농작물경작체험+만들기체험+전통문화체험+기타","감자캐기+노래방+농산물보물찾기+마늘뽑기체험+미꾸라지잡기+손두부만들기+선진지견학마을소개+새집만들기체험+삼색쌀찐빵만들기+삼굿구이+삼구연필꽃이만들기+사례발표+벼도정+버섯체험+황금들판둠벙이야기+한과만들기+캠프파이어체험+짚풀공예+장뇌삼심기+인절미만들기+먹거리체험+둠벙생태체험+농사체험+건강쥬스만들기+감효소담그기+갯벌체험","","","","충청남도 태안군 원북면 동해길 301-41","정교모","041-672-0109","2017-10-24","","충청남도 태안군청","36.812067","126.226815","2025-01-07","B552149","한국농어촌공사"
"2104","머드농수산체험마을","충청남도","보령시","농작물경작체험+만들기체험+건강+자연생태체험+기타","굴구이+바다체험+숙박(솔향휴양)+휴양치유+효소담그기+캠프운영+장류담그기+유기농김장담그기+산채+문화체험+김뜨기+농사체험+머드고구마가공+동물체험","","","","충청남도 보령시 천북면 사호장은로 563-5","최정숙","041-641-9940","2018-05-11","","충청남도 보령시청","36.500143","126.491175","2025-01-07","B552149","한국농어촌공사"
"2118","막현리마을","충청남도","금산군","기타+전통문화체험","가래떡만들기체험+꺼리체험+단순방문+민속얼음썰매체험+산촌체험숙박시설+산더덕캐기+두부만들기체험+농산물가공체험","","","","충청남도 금산군 진산면 하막현길 77","진종진","041-752-9772","2017-10-24","","충청남도 금산군청","36.204044","127.368045","2025-01-07","B552149","한국농어촌공사"
"2120","만대마을","충청남도","태안군","농작물경작체험+만들기체험+자연생태체험+기타","농사체험+바다생태체험+염전체험+도자기체험","","","","충청남도 태안군 이원면 원이로 2571-10","양은선","","2019-12-23","","충청남도 태안군청","36.947905","126.301282","2025-01-07","B552149","한국농어촌공사"
"2129","둥구리마을","충청남도","논산시","농작물경작체험+만들기체험+기타","감자캐기+수제청만들기+사과수확체험+비즈공예+비누만들기+버블체험+딸기쨈+딸기수확체험+딸기모종심기체험+들기름+참기름짜기+풍선아트+포도수확체험+토탈공예+양말목공예+곶감깍기+곶감레시피+꽃차체험+두부만들기+눈꽃통닭만들기+고추장+된장담그기","","","","충청남도 논산시 양촌면 중산길 35","천관봉","","2017-10-24","","충청남도 논산시청","36.119906","127.204049","2025-01-07","B552149","한국농어촌공사"
"2134","딸기마을","충청남도","논산시","농작물경작체험+만들기체험+기타","사촌방문+비누방향제만들기+비누만들기+벼심기+벼베기+밀납향초만들기+떡가루오감만족체험+땅콩캐기체험+딸기한살이+택배농산물(딸기)+자연과만나는오감체험+인절미떡매치기+인삼케기+딸기케익+딸기쨈g+딸기잼g+딸기수확체험g+딸기묘화분만들기+딸기마을프로그램+딸기고추장비빔밥+딸기고추장+견학+고구마캐기+귀농교육+도라지캐기+김장담그기+감자캐기","","","","충청남도 논산시 광석면 논산평야로1119번길 125","이태은","","2017-10-24","","충청남도 논산시청","36.257469","127.1023996","2025-01-07","B552149","한국농어촌공사"
"2142","동백꽃마을","충청남도","서천군","농작물경작체험+전통문화체험+만들기체험+자연생태체험+기타","감자캐기+청국장만들기+천연화장품만들기+천연야생화분경+천연비누만들기+잔디인형만들기+오색주먹밥만들기체험+시골밥상체험(특)+보존화코르크분경+바다향초만들기체험+미니사과따기+모시송편만들기체험+모내기체험+떡메치기+고구마캐기+고추장체험+농촌체험+동백립밥만들기+단호박피자만들기+갯벌체험","","","","충청남도 서천군 마서면 합전길 77","조향순","","2017-10-24","","충청남도 서천군청","36.048616","126.668679","2025-01-07","B552149","한국농어촌공사"
"2143","동자북마을","충청남도","서천군","기타","모시송편빗기체험+모시음식체험+미니팔찌만들기체험+소곡주빚기체험+모시칼국수체험","","","","충청남도 서천군 한산면 신성로 36-16","박창순","041-951-7743","2017-10-24","","충청남도 서천군청","36.084456","126.813768","2025-01-07","B552149","한국농어촌공사"
"2146","두곡마을","충청남도","금산군","농작물경작체험+건강+자연생태체험+만들기체험+전통문화체험+기타","감자수확+화분만들기+홍삼만들기+한방환만들기+한방발효액만들기+토피어리+컵만들기+칼라파동치유체험+칼라치유체험+친환경세제만들기+족욕헥사곤체험+인삼꽃병+음식만들기+아로니아수확효소만들기+썰매타기+쌍화차만들기+쌍화차+생기면역체험+배드민턴(체육관)+물고기잡기+드론체험+드론사진촬영+김장김치+깻잎따기+꽃터치치유체험+농산물판매+나만의손수건+글라이더만들어날리기","","","","충청남도 금산군 부리면 무금로 1650","박성춘","041-753-2608","2017-10-24","","충청남도 금산군청","36.064239","127.551766","2025-01-07","B552149","한국농어촌공사"
"2162","도담골호반마을","충청남도","공주시","농작물경작체험+기타","강백년권역체험+찾아가는농촌체험+자전거여행+낚시체험+솟대와장승만들기체험+시골길마차여행+알밤줍기체험+생태야놀자(계절별)+고향순두부만들기체험","","","","충청남도 공주시 의당면 강백년길 29","김학출","","2017-10-24","","충청남도 공주시청","36.58227977","127.1699103","2025-01-07","B552149","한국농어촌공사"
"2179","대장이랜드마을","충청남도","공주시","만들기체험+기타","냅킨아트+두부만들기체험+우드버닝체험+두부만들기체험(고급)","","","","충청남도 공주시 계룡면 갑사로 307","양복희","","2021-12-22","","충청남도 공주시청","36.368733","127.165261","2025-01-07","B552149","한국농어촌공사"
"2188","덕바위마을","충청남도","논산시","농작물경작체험+건강+자연생태체험+만들기체험+전통문화체험","체험-곤충+튜브대여+체험-체험교실단체+체험-자유이용권+체험-빙어잡기+체험-병아리+체험-바이킹+체험-미꾸라지+체험-물썰매+체험-물다람쥐+체험-물놀이(단체)+체험-물놀이+체험-라탄+체험-동전놀이기구+체험-동물먹이+체험-달고나+체험-눈썰매+체험-농촌체험+체험-깡통기차+체험-네일+체험-놀이+체험-농촌공예+체험-놀이단체+체험-군밤","","","","충청남도 논산시 연산면 선비로604번길 46-20","이현옥","041-733-2063","2017-10-24","","충청남도 논산시청","36.237694","127.184417","2025-01-07","B552149","한국농어촌공사"
"2191","달빛영근마을","충청남도","공주시","농작물경작체험+만들기체험+전통문화체험","떡매치기+벼의일생+숙박(체험관)+짚풀공예+호롱불체험+밤줍기대회","","","","충청남도 공주시 정안면 쌍달길 160","이득열","","2017-10-24","","충청남도 공주시청","36.575977","127.091651","2025-01-07","B552149","한국농어촌공사"
"2201","대동마을","충청남도","천안시","기타","전통장만들기+주말농장","","","","충청남도 천안시 동남구 동면 장송죽계길 189","이상우","","2017-10-24","","충청남도 천안시청","36.789643","127.380671","2025-01-07","B552149","한국농어촌공사"
"2205","닥실마을","충청남도","금산군","농작물경작체험+건강+만들기체험+전통문화체험+기타","강당사용+전통놀이체험+체험키트꾸러미+캠핑체험+찾아가는농촌체험교육+자유학년제+금강생태체험(습지+여울)+농촌체험+서각체험+만들기체험","","","","충청남도 금산군 제원면 닥실길 27","정대호","","2017-10-24","","충청남도 금산군청","36.104301","127.5691601","2025-01-07","B552149","한국농어촌공사"
"2209","달고개모시마을","충청남도","서천군","기타+만들기체험","농사체험+송편만들기+모시공예만들기","","","","충청남도 서천군 화양면 화한로504번길 5","양생규","","2017-10-24","","충청남도 서천군청","36.065734","126.821348","2025-01-07","B552149","한국농어촌공사"
"2227","산벚꽃농촌체험휴양마을","충청남도","금산군","농작물경작체험+건강+전통문화체험+만들기체험+자연생태체험","고구마캐기+염소먹이주기+크스마스장식+오디따기+야채따기+기차타기+도자기만들기+숙박체험+비즈만들기","","","","충청남도 금산군 군북면 자진뱅이길 165 (산안리, 산안2리마을회관)","한기재","","2021-04-27","","충청남도 금산군청","36.19203233","127.5774841","2025-01-07","B552149","한국농어촌공사"
"2228","산성골마을","충청남도","당진시","영농체험,만들기체험","고구마수확+코스모스손수건만들기","","","","충청남도 당진시 정미면 회천로 292-3 (산성리, 산성리마을회관)","문한석","","2022-03-23","","충청남도 당진시청","36.847821","126.520061","2025-01-07","B552149","한국농어촌공사"
"2248","사월1리마을","충청남도","논산시","기타+만들기체험","고구마캐기체험+사과따기체험+사과초콜렛만들기+오가피열매술만들기체험+전통놀이체험+팬션휴양(수영장이용)+오가피효소만들기체험+오가피순따기체험+사과비누만들기+매실수확체험+농장캔들만들기","","","","충청남도 논산시 광석면 논산평야로 1080","황민희","","2017-10-24","","충청남도 논산시청","36.248401","127.109807","2025-01-07","B552149","한국농어촌공사"
"2249","사자산농촌체험휴양마을","충청남도","청양군","농작물경작체험+자연생태체험+건강+기타+전통문화체험+만들기체험","가재잡기+대체프로그램+무동력농기계체험+밤줍기체험+한과만들기+전통놀이+자연생태체험+옥수수+고추따기+고구마케기+시골냇가물놀이체험+생태체험+산야초효소체험+산산제및사자산생일잔치+사자산마을농촌봉사+밤+고구마구워먹기+마을선진지견학+농촌에서살아보기+구기자와플만들기체험+구기자천연비누만들기+농촌봉사및체험","","","","충청남도 청양군 운곡면 배미길 29","최규호","041-943-0089","2017-10-24","","충청남도 청양군청","36.521278","126.876731","2025-01-07","B552149","한국농어촌공사"
"2253","봉하마을","충청남도","서천군","농작물경작체험+전통문화체험+건강+만들기체험+기타","기타체험+두부소세지체험+모시떡+신체험+역사논술+전시관관람및치유놀이+천연염색+유리공예+아로마테라피+물놀이+다육아트치유","","","","충청남도 서천군 서면 서인로 1044-13","최태림","","2017-10-24","","충청남도 서천군청","36.150646","126.576492","2025-01-07","B552149","한국농어촌공사"
